Species,Group,P50,Ks,paper,url,Ks_mol,relatedStudies,originalSpecies
Micropholis williamii,Angiosperm,-1.78,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15488,,,Micropholis williamii
Chrysophyllum sanguinolentum,Angiosperm,-2.47,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15489,,,Chrysophyllum sanguinolentum
Rinorea racemosa,Angiosperm,-4.18,,Oliveria et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15490,,,Rinorea racemosa
Pinus canariensis,Gymnosperm,-3.6,0.3,Lopez et al. 2016 Frontiers in Plant Sci,https://www.frontiersin.org/articles/10.3389/fpls.2016.00769/full,,,Pinus canariensis
Pistacia weinmanniifolia,Angiosperm,-3.3,1.3,Zhang et al. 2017 Frontiers in Plant Sci,https://www.frontiersin.org/articles/10.3389/fpls.2016.02075/full,,,Pistacia weinmanniifolia
Terminthia paniculata,Angiosperm,-2.6,5.9,Zhang et al. 2017 Frontiers in Plant Sci,https://www.frontiersin.org/articles/10.3389/fpls.2016.02075/full,,,Terminthia paniculata
Lannea coromandelic,Angiosperm,-1.8,6.8,Zhang et al. 2017 Frontiers in Plant Sci,https://www.frontiersin.org/articles/10.3389/fpls.2016.02075/full,,,Lannea coromandelic
Quercus petraea,Angiosperm,-4.6,,Torrez-Ruis et al. 2019 Tree Phys,https://academic.oup.com/treephys/advance-article-abstract/doi/10.1093/treephys/tpz090/5566754?redirectedFrom=fulltext,,,Quercus petraea
Bocoa prouacensis,Angiosperm,-3.46,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15058,,,Bocoa prouacensis
Dicorynia guianensis,Angiosperm,-1.99,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15059,,,Dicorynia guianensis
Eperua falcata,Angiosperm,-1.03,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15060,,,Eperua falcata
Eperua grandiflora,Angiosperm,-2.47,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15061,,,Eperua grandiflora
Eschweilera sagotiana,Angiosperm,-1.94,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15062,,,Eschweilera sagotiana
Jacaranda copaia,Angiosperm,-1.34,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15063,,,Jacaranda copaia
Lecythis persistens,Angiosperm,-2.4,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15064,,,Lecythis persistens
Licania alba,Angiosperm,-1.87,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15065,,,Licania alba
Licania heteromorpha,Angiosperm,-1.28,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15066,,,Licania heteromorpha
Pradosia cochlearia,Angiosperm,-3.12,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15067,,,Pradosia cochlearia
Sextonia rubra,Angiosperm,-1.17,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15068,,,Sextonia rubra
Symphonia globulifera,Angiosperm,-1.78,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15069,,,Symphonia globulifera
Tachigali melinonii,Angiosperm,-1.86,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15070,,,Tachigali melinonii
Vouacapoua americana,Angiosperm,-1.75,,Santiago et al. 2018 New Phyt,https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.15071,,,Vouacapoua americana
Alseis blackiana,Angiosperm,-3.5296937,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2666,404.26,,Alseis blackiana
Annona spraguei,Angiosperm,-2.4426427,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2667,734.08,,Annona spraguei
Arrabidaea verrucosa,Angiosperm,-0.8060045,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2668,2032.8,,Arrabidaea verrucosa
Bauhinia reflexa,Angiosperm,-2.102105,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2669,1180.356,,Bauhinia reflexa
Brosimum utile,Angiosperm,-2.2476243,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2670,911.352,,Brosimum utile
Callichlamys latifolia,Angiosperm,-1.012439,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2671,508.18984,,Callichlamys latifolia
Cecropia obtusifolia,Angiosperm,-0.7556186,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2672,970.104,,Cecropia obtusifolia
Clitoria javitensis,Angiosperm,-1.6790476,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2673,758.6531,,Clitoria javitensis
Coccoloba parimensis,Angiosperm,-1.5096641,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2674,1105.412,,Coccoloba parimensis
Combretum decandrum,Angiosperm,-0.6121123,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2675,2392.4458,,Combretum decandrum
Croton billbergianus,Angiosperm,-0.6095901,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2676,800.85376,,Croton billbergianus
Davilla nitida,Angiosperm,-1.4842136,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2677,1311.228,,Davilla nitida
Doliocarpus dentatus,Angiosperm,-2.5224781,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2678,1210.00474,,Doliocarpus dentatus
Doliocarpus multiflorus,Angiosperm,-2.5104522,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2679,965,,Doliocarpus multiflorus
Erythrina costaricensis,Angiosperm,-1.273038,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2680,663.44588,,Erythrina costaricensis
Eugenia nesiotica,Angiosperm,-1.6889497,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2681,580.39816,,Eugenia nesiotica
Faramea occidentalis,Angiosperm,-4.2924556,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2682,127.166,,Faramea occidentalis
Gustavia superba,Angiosperm,-0.7546891,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2683,109.3745,,Gustavia superba
Hiraea smilacina,Angiosperm,-2.5977086,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2684,794.808,,Hiraea smilacina
Inga vera,Angiosperm,-4.526969,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2685,184.98364,,Inga vera
Luehea seemannii,Angiosperm,-1.2839966,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2686,804.222,,Luehea seemannii
Machaerium floribundum,Angiosperm,-0.7234846,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2687,1327,,Machaerium floribundum
Machaerium seemannii,Angiosperm,-0.9070623,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2688,179.15564,,Machaerium seemannii
Maripa panamensis,Angiosperm,-0.5416576,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2689,3357.10322,,Maripa panamensis
Mendoncia litoralis,Angiosperm,-0.6252212,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2690,3245,,Mendoncia litoralis
Miconia argentea,Angiosperm,-0.9171262,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2691,218.80484,,Miconia argentea
Mikania leiostachya,Angiosperm,-1.2566151,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2692,194.92932,,Mikania leiostachya
Myriocarpa longipes,Angiosperm,-0.9055292,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2693,1199.52,,Myriocarpa longipes
Paullinia fibrigera,Angiosperm,-1.2208353,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2694,728.28,,Paullinia fibrigera
Paullinia glomerulosa,Angiosperm,-0.5088948,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2695,77.06906,,Paullinia glomerulosa
Paullinia rugosa,Angiosperm,-0.7809029,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2696,234.79924,,Paullinia rugosa
Phryganocydia corymbosa,Angiosperm,-1.1025164,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2697,990.08,,Phryganocydia corymbosa
Piper reticulatum,Angiosperm,-0.8577531,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2698,518.43838,,Piper reticulatum
Pourouma bicolor,Angiosperm,-1.4763766,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2699,683.1,,Pourouma bicolor
Protium panamense,Angiosperm,-1.9198724,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2700,872.496,,Protium panamense
Senna dariensis,Angiosperm,-2.0957746,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2701,137.3471,,Senna dariensis
Senna undulata,Angiosperm,-1.0842082,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2702,322.16196,,Senna undulata
Simarouba amara,Angiosperm,-1.1334882,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2703,644.182,,Simarouba amara
Stizophyllum riparium,Angiosperm,-0.7844022,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2704,1690.368,,Stizophyllum riparium
Tachigali versicolor,Angiosperm,-3.8358344,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2705,179.872,,Tachigali versicolor
Tapirira guianensis,Angiosperm,-2.4006092,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2706,338.79,,Tapirira guianensis
Terminalia amazonia,Angiosperm,-3.0538713,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2707,95.59173,,Terminalia amazonia
Tetracera portobellensis,Angiosperm,-1.3458633,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2708,1469.00092,,Tetracera portobellensis
Tontelea ovalifolia,Angiosperm,-1.3742113,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2709,1691.616,,Tontelea ovalifolia
Tovomita longifolia,Angiosperm,-3.8258901,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2710,333.108,,Tovomita longifolia
Virola sebifera,Angiosperm,-1.2406379,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2711,522.424,,Virola sebifera
Vismia billbergiana,Angiosperm,-2.18222,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2712,238.15075,,Vismia billbergiana
Vitis tiliifolia,Angiosperm,-1.0740102,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2713,1248.832,,Vitis tiliifolia
Xylopia macrantha,Angiosperm,-2.5917397,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2714,131.8958,,Xylopia macrantha
Zanthoxylum panamense,Angiosperm,-2.0470684,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2715,686.90662,,Zanthoxylum panamense
Zuelania guidonia,Angiosperm,-3.2054299,,van der Sande et al. Ecol,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.2716,526.524,,Zuelania guidonia
Caryocar glabrum,Angiosperm,-1.78,22.6,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15909,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Caryocar glabrum
Dipteryx odorata,Angiosperm,-4.47,6.5,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15910,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Dypterix odorata
Eschweilera coriaceae,Angiosperm,-1.57,10.6,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15911,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Eschweilera coriaceae
Eschweilera cyathiformis,Angiosperm,-3.05,,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15912,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Eschweilera cyathiformis
Eschweilera sp.,Angiosperm,-2.47,3.1,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15913,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Eschweilera sp.
Eschweilera wachenheimii,Angiosperm,-2.19,7.7,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15914,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Eschweilera wachenheimii
Goupia glabra,Angiosperm,-2.2,16.7,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15915,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Goupia glabra
Gustavia elliptica,Angiosperm,-2.75,5.1,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15916,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Gustavia elliptica
Lecyths prancei,Angiosperm,-1.8,9.5,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15917,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Lecyths prancei
Maquira sclerophylla,Angiosperm,-2.21,15.8,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15918,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Maquira sclerophylla
Minquartia guianensis,Angiosperm,-2.16,2,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15919,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Minquartia guianensis
Ocotea sp.,Angiosperm,-1.84,12.8,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15920,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Ocotea sp.
Pouteria anomala,Angiosperm,-1.01,6.9,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15921,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Pouteria anomala
Pouteria erythrochrysa,Angiosperm,-3.92,,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15922,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Pouteria erythrochrysa
Protium hebetatum,Angiosperm,-1.49,5.8,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15923,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Protium hebetatum
Scleronema micranthum,Angiosperm,-1.77,23.9,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15924,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Scleronema micranthum
Zygia racemosa,Angiosperm,-3.02,3.5,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15925,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Zygia racemosa
Amphirrhox longifolia,Angiosperm,-2.28,1.5,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15926,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Amphyrrhox longifolia
Chamaecrista xinguensis,Angiosperm,-3.14,9.7,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15927,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Chamaecrista xinguensis
Coussarea albescens,Angiosperm,-4.86,1.6,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15928,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Coussarea albescens
Endopleura uchi,Angiosperm,-1.52,7.9,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15929,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Endopleura uchi
Erisma uncinatum,Angiosperm,-2.13,5.6,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15930,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Erisma unsinatum
Manilkara huberi,Angiosperm,-1.75,,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15931,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Manilkara huberi
Mezilaurus itauba,Angiosperm,-2.98,12.3,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15932,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Mezilaurus itauba
Miconia lepidota,Angiosperm,-5.02,4,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15933,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Miconia lepidota
Minquartia guianensis,Angiosperm,-6.03,,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15934,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Minquartia guianensis
Protium apiculatum,Angiosperm,-1.94,7.5,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15935,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Protium apiculatum
Rinourea passourea,Angiosperm,-2.99,0.6,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15936,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Rinourea passourea
Tachigali chrysophylla,Angiosperm,-3.79,,Barros et al. 2019 New Phyt,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15937,,https://lib.ugent.be/fulltxt/RUG01/002/785/229/RUG01-002785229_2019_0001_AC.pdf,Tachigali chrysophylla
Abies sibirica,Gymnosperm,-3.67,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Abies sibirica 
Picea obovata,Gymnosperm,-4.13,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Picea obovata 
Pinus sibirica,Gymnosperm,-2.97,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Pinus sibirica 
Larix sibirica,Gymnosperm,-3.59,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Larix sibirica 
Larix sibirica,Gymnosperm,-3.61,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Larix sibirica 
Larix sibirica,Gymnosperm,-3.69,,Dulamsuren et al 2019 Tree Phys,https://academic.oup.com/treephys/article-abstract/39/3/463/5153307?redirectedFrom=fulltext,,,Larix sibirica 
